"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"ThatsHotMag","2017-04-05 14:57","0","0","This sweet thang is flying to see me in Mexico :) @Kristina_Lynn_M #dougochoaphotography https://www.instagram.com/p/BSggE6QDXkC/","","@Kristina_Lynn_M","#dougochoaphotography","849637092221124610","https://twitter.com/ThatsHotMag/status/849637092221124610"
"AurielGrace","2017-04-05 14:35","0","0","A Gang of Girls Radio - Fairie Show Join Melinda Carver and Auriel Grace for the Fairie https://www.instagram.com/p/BSgdk-8A7G2/","","","","849631596059791361","https://twitter.com/AurielGrace/status/849631596059791361"
"Winnie_sr","2017-04-05 13:05","0","0","What a Gorgeous Sunset over the Gulf of Mexico while I was relaxing in my front yard yesterday. https://www.instagram.com/p/BSgTQ7aBg33/","","","","849608913397833728","https://twitter.com/Winnie_sr/status/849608913397833728"
"t8er_head","2017-04-05 09:13","0","0","All ears #summercuts @Woof Gang Bakery & Grooming https://www.instagram.com/p/BSf4u-dDiQjykU52dCuFPRV4lVjCo-AgcYl8MI0/ ","","@Woof","#summercuts","849550574974627843","https://twitter.com/t8er_head/status/849550574974627843"
"Snooh","2017-04-05 06:20","0","1","*insert some fancy blue wall quote* #tajexpressthemusical #blue #bluewall #usatour2017 https://www.instagram.com/p/BSfk-H5l-dR/","","","#tajexpressthemusical #blue #bluewall #usatour2017","849507118688477185","https://twitter.com/Snooh/status/849507118688477185"
"DowntownOrl","2017-04-05 05:58","0","0","#BatteryFightInProgress WALL ST & N ORANGE AV ( 4/05/2017 01:44) #Orlando #CentralBusinessDistrict","","","#BatteryFightInProgress #Orlando #CentralBusinessDistrict","849501480159719425","https://twitter.com/DowntownOrl/status/849501480159719425"
"Feisty_14","2017-04-05 02:00","1","3","Bigger pond = bigger fish. #notinIndianaanymore @Gulf of Mexico https://www.instagram.com/p/BSfHJ45gJnIJS3lBrXPfWND1i94-RuogniLC-o0/ ","","@Gulf","#notinIndianaanymore","849441542850961409","https://twitter.com/Feisty_14/status/849441542850961409"
"FrankSimmsPA","2017-04-05 00:58","0","0","Living on the Caloosahatchee River or the Gulf of Mexico not your cup of tea? Let me introduce https://www.instagram.com/p/BSfAHcXgv3c/","","","","849426068872327169","https://twitter.com/FrankSimmsPA/status/849426068872327169"
"Fly_Money_Jt","2017-04-05 00:08","0","0","Don't Go Against Da Gang #ColdSummer #April29Th #BlacYoungsta #Venue578 #FinesseGang #GFE https://www.instagram.com/p/BSe6UPAFkR_/","","","#ColdSummer #April29Th #BlacYoungsta #Venue578 #FinesseGang #GFE","849413318968213504","https://twitter.com/Fly_Money_Jt/status/849413318968213504"
"antonpayne","2017-04-04 23:48","0","0","Sorry for so many pics but I'm really not sorry!!! @Gulf of Mexico Off Siesta Key https://www.instagram.com/p/BSe4BhLhM6M/","","@Gulf","","849408271798743041","https://twitter.com/antonpayne/status/849408271798743041"
"ChristineLeiser","2017-04-04 22:37","0","0","Starting vacation mode. Engage! @Great Wall Ny Style Chinese Food http://ln.is/www.instagram.com/p/Zovev ","","@Great","","849390514780725250","https://twitter.com/ChristineLeiser/status/849390514780725250"
"lifeinhisbrain","2017-04-04 21:49","0","0","The wall @Austins Coffee https://www.instagram.com/p/BSeqZQdFqah/","","@Austins","","849378312090771456","https://twitter.com/lifeinhisbrain/status/849378312090771456"
"nwhitehouse87","2017-04-04 19:07","0","0","Almost ready for the open wall walk through. #clientsdreamhome #realtor #newconstruction https://www.instagram.com/p/BSeX9ZSBVKg/","","","#clientsdreamhome #realtor #newconstruction","849337761907847169","https://twitter.com/nwhitehouse87/status/849337761907847169"
"celli5219","2017-04-04 18:56","0","0","Ready for some Springfield fun with the gang!!! #universalvacation @ https://www.instagram.com/p/BSeWp9mgEZ6kI2p7-EHaIyOl-rm4iEmIHCFtfw0/ ","","@","#universalvacation","849334902101336064","https://twitter.com/celli5219/status/849334902101336064"
"Short_and_Stowt","2017-04-04 16:27","0","0","THIS FRIDAY We in Daytona wit it SNIPER GANG INVASION PULL UP https://www.instagram.com/p/BSeFolfgmFzIIay0Y3kmXFlyhNeFxooXkCaxy40/ ","","","","849297488876097536","https://twitter.com/Short_and_Stowt/status/849297488876097536"
"littleedssports","2017-04-04 15:15","0","0","Roadside view of #thuglife... across the #bridge #wall from #mar-a-Lago ... spending the weekend https://www.instagram.com/p/BSd9TxfF_ZS/","","","#thuglife #bridge #wall #mar","849279164255436800","https://twitter.com/littleedssports/status/849279164255436800"
"DJWarrenYoung","2017-04-04 05:50","0","3","I smoke weed #gang Gang #MMJ #Florida #PotHead #LikeAMarley #SoHard #dedication #iG #IOT https://www.instagram.com/p/BSc8qR4joGj/","","","#gang #MMJ #Florida #PotHead #LikeAMarley #SoHard #dedication #iG #IOT","849136997734244352","https://twitter.com/DJWarrenYoung/status/849136997734244352"
"aayykay","2017-04-04 03:11","0","0","I will see you real soon pal #mcm @The Purple Wall https://www.instagram.com/p/BScqjS8BFEi/","","@The","#mcm","849097171307810817","https://twitter.com/aayykay/status/849097171307810817"
"jodeedisney","2017-04-04 01:13","0","1","@The Purple Wall https://www.instagram.com/p/BScdDc7Ardd/","","@The","","849067491246710786","https://twitter.com/jodeedisney/status/849067491246710786"
"AshbyLeeFoutch","2017-04-04 00:39","0","2","successfully ate our way through France, Mexico, Norway, Germany, https://www.instagram.com/p/BScZJiLhO9ZyBu7wosia8wV1ZTtxJtoUl8uCHI0/ ","","","","849058925081014272","https://twitter.com/AshbyLeeFoutch/status/849058925081014272"
