"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink"
"TheRareGrooves","2017-02-01 06:11","0","0","A #wall not only keeps #people out .... it works both ways #staywoke @United States https://www.instagram.com/p/BP9V0vPgQ0E/","","@United","#wall #people #staywoke","826674331149336576","https://twitter.com/TheRareGrooves/status/826674331149336576"
"LegiScanKS","2017-02-01 01:16","0","0","SB112 [NEW] Reducing the penalty for unlawful possession of drug paraphernalia. http://bitly.com/YyKU2v","","","","826600136079966208","https://twitter.com/LegiScanKS/status/826600136079966208"
"J0NATHANJ0NES","2017-01-30 21:10","0","0","#LetThemIn #BarackObama launched a stinging rebuke of #DonaldTrump's #immigration orders and https://www.instagram.com/p/BP5zGghhyHb/","","","#LetThemIn #BarackObama #DonaldTrump #immigration","826175763237916672","https://twitter.com/J0NATHANJ0NES/status/826175763237916672"
"FHSUAlphaGams","2017-01-30 19:48","1","1","If it's on the wall in the UAB it must be cool! Come see us for a super fun week Tuesday the https://www.instagram.com/p/BP5pxo5gjVk/","","","","826155256849502213","https://twitter.com/FHSUAlphaGams/status/826155256849502213"
"MaicBro","2017-01-30 14:28","0","0","#donaldtrump #mexico #speedygonzales #wall #america #fear @United States https://www.instagram.com/p/BP5FE12B7uW/","","@United","#donaldtrump #mexico #speedygonzales #wall #america #fear","826074552513880065","https://twitter.com/MaicBro/status/826074552513880065"
"derekslack","2017-01-30 04:04","0","1","It would not be Sunday without this groovy gang. #rccinhisgrip #rccyouth #youthgroup @Rossville https://www.instagram.com/p/BP39tpRAk56/","","@Rossville","#rccinhisgrip #rccyouth #youthgroup","825917623246475271","https://twitter.com/derekslack/status/825917623246475271"
"JuliaisFong","2017-01-29 22:52","0","0","Again, I ask: REALLY?! . . . #what #really #america #dobetter #protest #outrage #immigration https://www.instagram.com/p/BP3aCrUjsRd/","","","#what #really #america #dobetter #protest #outrage #immigration","825839180353789953","https://twitter.com/JuliaisFong/status/825839180353789953"
"Tall_But_Small","2017-01-29 20:14","0","0","#meme Truthful ! #immigration #america #trump #trumpmemes #native #nationality #politics @ https://www.instagram.com/p/BP3H7EZlSph/","","@","#meme #immigration #america #trump #trumpmemes #native #nationality #politics","825799360030048256","https://twitter.com/Tall_But_Small/status/825799360030048256"
"GusHinostroza","2017-01-29 18:24","0","0","Hey @realdonaldtrump I'd like to submit my design plan for your wall. Wudaya think? https://www.instagram.com/p/BP27UbjlAw4/","","@realdonaldtrump","","825771640063664128","https://twitter.com/GusHinostroza/status/825771640063664128"
"mrgeemoney","2017-01-29 12:19","0","0","#realtalk #fucktrump #immigration @United States https://www.instagram.com/p/BP2RiBsBJpB/","","@United","#realtalk #fucktrump #immigration","825679727511826434","https://twitter.com/mrgeemoney/status/825679727511826434"
"kids_josette","2017-01-28 19:03","0","0","this #wall would b #cheaper. #justsaying @United States https://www.instagram.com/p/BP0a8UmDlGy/","","@United","#wall #cheaper #justsaying","825418951345713152","https://twitter.com/kids_josette/status/825418951345713152"
"ke6cct","2017-01-28 17:41","0","0","thanks for shutting of immigration flow to keep terror potential low.","","","","825398498715512832","https://twitter.com/ke6cct/status/825398498715512832"
"j5uliana","2017-01-27 19:50","0","0","I'm at Little Mexico in Lindsborg, KS https://www.swarmapp.com/c/4cF7FG9rFvL","","","","825068529292566528","https://twitter.com/j5uliana/status/825068529292566528"
"simpIy_sueee","2017-01-26 22:04","0","0","Hungerssss.. (@Great Wall Chinese in Derby, KS) https://www.swarmapp.com/c/8vCBDkSZBWS","","@Great","","824739738229800960","https://twitter.com/simpIy_sueee/status/824739738229800960"
"aguamielerogpz","2017-01-25 21:04","0","0","@JerryMoran Senator do not allow a useless and expensive wall be erected. The money could be used in our state in a more beneficial way.","","@JerryMoran","","824362281366601729","https://twitter.com/aguamielerogpz/status/824362281366601729"
"aguamielerogpz","2017-01-25 21:01","0","0","@SenPatRoberts Senator do not allow a useless and expensive wall be erected that money could be used in something more useful in our state.","","@SenPatRoberts","","824361649326931969","https://twitter.com/aguamielerogpz/status/824361649326931969"
"MidnightRyder","2017-01-24 01:21","0","3","#selfie a day #23: Where I teach #gamedev at has some really cool wall art for those of us who https://www.instagram.com/p/BPoOSjxgV86/","","","#selfie #23 #gamedev","823702276422434817","https://twitter.com/MidnightRyder/status/823702276422434817"
"LegiScanKS","2017-01-23 06:37","0","0","SB42 [NEW] Clarifying criminal sentencing for certain persons subject to a mandatory minimum term of imprisonment. http://bitly.com/XI2dxN","","","","823419391161286656","https://twitter.com/LegiScanKS/status/823419391161286656"
"rach_bos","2017-01-23 04:22","0","0","You and I are more than friends. We're like a really small gang.    : p40warhawkqaed @ https://www.instagram.com/p/BPl-KXCAaLN/","","@","","823385337074421764","https://twitter.com/rach_bos/status/823385337074421764"
"SneakerGirl","2017-01-22 02:15","0","0","Hey, we should take a picture.... I know...let's do a wall sit. https://www.instagram.com/p/BPjK398Dz7NmyqOx7W62NO1Sd6g3wcKdT-nnxU0/ ","","","","822991082447368193","https://twitter.com/SneakerGirl/status/822991082447368193"
"HarrisonThaylen","2017-01-20 18:46","0","4","It's officially time to make America great again! Hand crafted by yours truly #TrumpTrain https://www.instagram.com/p/BPfysKSg9mr/","","","#TrumpTrain","822515681732292608","https://twitter.com/HarrisonThaylen/status/822515681732292608"
"Beamin_285","2017-01-20 18:46","0","0","Make America Great! #StandTogether @United States https://www.instagram.com/p/BPfyr2nAMNlhKD_jKz0Urjr1q3_2eSxJ8tBLYU0/ ","","@United","#StandTogether","822515671712071680","https://twitter.com/Beamin_285/status/822515671712071680"
"_mamabeer_","2017-01-20 17:18","0","0","Kane is ready To MAKE AMERICA GREAT AGAIN!! jlbeer That's our boy! #babyknowsbest https://www.instagram.com/p/BPfole5gPCb/","","","#babyknowsbest","822493466898944000","https://twitter.com/_mamabeer_/status/822493466898944000"
"Tyler_Oakes73","2017-01-20 17:06","0","0","The wait is finally over, it's Time to Make America Great Again! https://www.instagram.com/p/BPfnQo3BvmqXbKeJi3W2stWPaHeBxtiO_vAtqA0/ ","","","","822490545930977280","https://twitter.com/Tyler_Oakes73/status/822490545930977280"
"allen_barranco","2017-01-20 16:56","0","0","Chicken Sopes and Verde Gordita's for lunch. So glad they are back from Mexico... #chickensopes https://www.instagram.com/p/BPfmDwkAet9/","","","#chickensopes","822487904652062721","https://twitter.com/allen_barranco/status/822487904652062721"
