"date","state","usage"
"06-06-2014","AR",3376
"06-06-2014","CA",73388
"06-06-2014","CO",7614
"06-06-2014","CT",6112
"06-06-2014","DE",2042
"06-06-2014","DC",5340
"06-06-2014","FL",37634
"06-06-2014","GA",17429
"06-06-2014","HI",NA
"06-06-2014","ID",1406
"06-06-2014","IL",20267
"06-06-2014","IN",7302
"06-06-2014","IA",3930
"06-06-2014","KS",4121
"06-06-2014","KY",5763
"06-06-2014","LA",6405
"06-06-2014","ME",2147
"06-06-2014","MD",9398
"06-06-2014","MA",13239
"06-06-2014","MI",13340
"06-06-2014","MN",8462
"06-06-2014","MS",2613
"06-06-2014","MO",8466
"06-06-2014","MT",629
"06-06-2014","NE",2459
"06-06-2014","NV",7200
"06-06-2014","NH",1890
"06-06-2014","NJ",16423
"06-06-2014","NM",2048
"06-06-2014","NY",45970
"06-06-2014","NC",13959
"06-06-2014","ND",1004
"06-06-2014","OH",15759
"06-06-2014","OK",5450
"06-06-2014","OR",9390
"06-06-2014","PA",19272
"06-06-2014","RI",2163
"06-06-2014","SC",7820
"06-06-2014","SD",768
"06-06-2014","TN",10502
"06-06-2014","TX",43785
"06-06-2014","UT",3091
"06-06-2014","VT",1079
"06-06-2014","VA",12142
"06-06-2014","WA",10107
"06-06-2014","WV",2088
"06-06-2014","WI",7304
"06-06-2014","WY",479
"06-06-2014","AS",NA
"06-06-2014","GU",NA
"06-06-2014","MP",NA
"06-06-2014","PR",NA
"06-06-2014","UM",NA
"06-06-2014","VI",NA
"07-06-2014","AL",5389
"07-06-2014","AK",3
"07-06-2014","AZ",8534
"07-06-2014","AR",2909
"07-06-2014","CA",81797
"07-06-2014","CO",7657
"07-06-2014","CT",5891
"07-06-2014","DE",1598
"07-06-2014","DC",6996
"07-06-2014","FL",40613
"07-06-2014","GA",18553
"07-06-2014","HI",NA
"07-06-2014","ID",1357
"07-06-2014","IL",20318
"07-06-2014","IN",8102
"07-06-2014","IA",3624
"07-06-2014","KS",3927
"07-06-2014","KY",5993
"07-06-2014","LA",6868
"07-06-2014","ME",2204
"07-06-2014","MD",9854
"07-06-2014","MA",13307
"07-06-2014","MI",13308
"07-06-2014","MN",8017
"07-06-2014","MS",2561
"07-06-2014","MO",8200
"07-06-2014","MT",728
"07-06-2014","NE",2512
"07-06-2014","NV",8130
"07-06-2014","NH",1903
"07-06-2014","NJ",18729
"07-06-2014","NM",2161
"07-06-2014","NY",52642
"07-06-2014","NC",13998
"07-06-2014","ND",923
"07-06-2014","OH",15963
"07-06-2014","OK",5457
"07-06-2014","OR",9468
"07-06-2014","PA",19301
"07-06-2014","RI",2380
"07-06-2014","SC",7610
"07-06-2014","SD",872
"07-06-2014","TN",11018
"07-06-2014","TX",46023
"07-06-2014","UT",3361
"07-06-2014","VT",865
"07-06-2014","VA",12736
"07-06-2014","WA",9829
"07-06-2014","WV",2132
"07-06-2014","WI",6649
"07-06-2014","WY",451
"07-06-2014","AS",NA
"07-06-2014","GU",NA
"07-06-2014","MP",NA
"07-06-2014","PR",NA
"07-06-2014","UM",NA
"07-06-2014","VI",NA
"08-06-2014","AL",5746
"08-06-2014","AK",2
"08-06-2014","AZ",9111
"08-06-2014","AR",3301
"08-06-2014","CA",75661
"08-06-2014","CO",7257
"08-06-2014","CT",6148
"08-06-2014","DE",1450
"08-06-2014","DC",5770
"08-06-2014","FL",38622
"08-06-2014","GA",16433
"08-06-2014","HI",NA
"08-06-2014","ID",1545
"08-06-2014","IL",20362
"08-06-2014","IN",7210
"08-06-2014","IA",3765
"08-06-2014","KS",3840
"08-06-2014","KY",5749
"08-06-2014","LA",7583
"08-06-2014","ME",1846
"08-06-2014","MD",9513
"08-06-2014","MA",12283
"08-06-2014","MI",13109
"08-06-2014","MN",7853
"08-06-2014","MS",2892
"08-06-2014","MO",7856
"08-06-2014","MT",611
"08-06-2014","NE",2419
"08-06-2014","NV",7466
"08-06-2014","NH",1750
"08-06-2014","NJ",18328
"08-06-2014","NM",1893
"08-06-2014","NY",49701
"08-06-2014","NC",13404
"08-06-2014","ND",1090
"08-06-2014","OH",15622
"08-06-2014","OK",5670
"08-06-2014","OR",8104
"08-06-2014","PA",18241
"08-06-2014","RI",2290
"08-06-2014","SC",8611
"08-06-2014","SD",869
"08-06-2014","TN",10327
"08-06-2014","TX",46984
"08-06-2014","UT",3223
"08-06-2014","VT",775
"08-06-2014","VA",12034
"08-06-2014","WA",9840
"08-06-2014","WV",2300
"08-06-2014","WI",6435
