source|text|created_at|retweet_count|favorite_count|is_retweet|id_str
Twitter for iPhone|Talks on Repealing and Replacing ObamaCare are, and have been, going on, and will continue until such time as a deal is hopefully struck.|04-02-2017 13:03:43|13677|73325|false|848521325480202240
Twitter for iPhone|Anybody (especially  Fake News media) who thinks that Repeal &amp; Replace of ObamaCare is dead does not know the love and strength in R Party!|04-02-2017 12:56:49|16341|80080|false|848519587675201538
Twitter for iPhone|Thank you @JCLayfield -- will get even better as my Administration continues to put #AmericaFirst🇺🇸 https://t.co/AQQzmt10x7|04-01-2017 22:21:02|13760|53703|false|848299191646515202
Twitter for iPhone|..not associated with Russia. Trump team spied on before he was nominated." If this is true, does not get much bigger. Would be sad for U.S.|04-01-2017 17:02:29|15671|64746|false|848219027659010051
Twitter for iPhone|Wow, @FoxNews just reporting big news. Source: "Official behind unmasking is high up. Known Intel official is responsible. Some unmasked....|04-01-2017 16:50:36|16136|61205|false|848216035153121285
Twitter for iPhone|...use subsidies to buy health plans." In other words, Ocare is dead. Good things will happen, however, either with Republicans or Dems.|04-01-2017 16:06:14|10001|51102|false|848204870876356608
Twitter for iPhone|The failing @nytimes finally gets it - "In places where no insurance company offers plans, there will be no way for ObamaCare customers to..|04-01-2017 15:59:36|11203|48508|false|848203201094483972
Twitter for iPhone|RT @DanScavino: .@POTUS @realDonaldTrump signs executive orders on trade that will set the stage for revival in American manufacturing. #Am…|04-01-2017 15:35:12|7035|0|true|848197060625145856
Twitter for iPhone|It is the same Fake News Media that said there is "no path to victory for Trump" that is now pushing the phony Russia story. A total scam!|04-01-2017 13:02:32|22380|86222|false|848158641056362496
Twitter for iPhone|When will Sleepy Eyes Chuck Todd and @NBCNews start talking about the Obama SURVEILLANCE SCANDAL and stop with the Fake Trump/Russia story?|04-01-2017 12:43:32|21797|78221|false|848153860602507264
Twitter Ads|We are going to defend our industry &amp; create a level playing field for the American worker. It is time to put… https://t.co/dzPKJMghj1|03-31-2017 21:31:44|14593|65695|false|847924397180583937
